σύντομα, σαλόνι, τυριού, πω, ανάμεσα, κι, μέγιστος, φιλάω, χρήσιμος, πρέπον, σκάλα, λέγοντας, κινητό, λέγομαι, μπροστινός, ωκεανία, γνώρισα, συνέβη, γρήγορα, συγγραφέας, πηγαίνοντας, υπογράφω, λανθασμένος, ή, γενικής, γαλάζια, υπερβολικά, ον, έφυγα, πανηγύρι, παίζω, αδύναμος, ξεχάσω, νότος, καπέλο, τελείως, βόρεια, σκο, χιλιόμετρο, νοέμβριος, νονά, άλλη, ερωτευμένος, ενός, ωρίων, δίνω, δωμάτιο, πια, αλυσίδα, ερπετό

soon, living room, cheese, Well, between, and, maximum, kiss, useful, proper, staircase, saying, mobile, my name is, front, Oceania, I met, happened, quickly, author, going, sign, wrong, the, general, light blue, overly, being, Im gone, festival, I am playing, weak, forget, south, hat, completely, North, darkness, kilometer, November, godmother, other, in love, of a, Orion, I give, room, any longer, chain, reptilian

επιτρέπω, τόσο, υπάρχω, πρωτεύουσα, ιδιαίτερος, μια, ζώνη, παρών, αντίθετος, φτιάχνω, τηγάνι, μεσάνυχτα, τις, αγοράζω, χιονίζει, οδήγησα, περιμένω, τεράστιος, όποιος, τον, εννιακόσιοι, κοιτάζομαι, τσάντα, δεκαοκτώ, αράχνη, νόστιμος, τρείς, σηκώνομαι, σταθμός, βοδινό, να, σκεπή, μα, χωριό, τρώω, πάγος, ντουλάπα, κάστρο, γενναιόδωρος, μοντέλο, επιστρέφω, δυτικός, λίγος, καρότο, συνεχίζω, στον, γραβάτα, άλογα, νόμιμος, κολυμπώ

allow, such a, exist, capital city, particular, a, zone, present, contrary, make, pan, midnight, the, I buy, its snowing, I drove, I am waiting, huge, Any, him, nine hundred, look at, bag, eighteen, spider, delicious, three, get up, station, beef, to, roof, but, village, I eat, ice, closet, castle, generous, model, I return, west, little, carrot, continue, in, tie, horses, legal, swim

κορίτσια, τίποτα, βα, γυναίκες, παγωτό, ειλικρινά, φιλί, εμένα, γιατρός, επέστρεψα, πουκάμισα, σκύλους, μιλάω, όποτε, δοκιμάσω, επιτροπή, πέρασα, ζάχαρη, νομίζοντας, έμεινα, αύγουστος, έφερα, παίζει, λίγο, μετράω, πότε, κουτάλι, το, αγαπήσω, ξίδι, φέρνω, εξοργίζομαι, ακούσω, μιας, συνεχώς, σώζω, άνοιξα, διαβάζουν, πόσο, πάρα, χάρηκα, καπετάνιος, ελένης, αεροσυνοδός, παιδί, δω, ντουλάπι, γαλλία, μάνγκο, χίλιοι

girls, nothing, BA, women, ice cream, sincerely, kiss, me, doctor, I returned, shirts, dog, I talk, whenever, try, commission, I passed, sugar, thinking, I stayed, August, brought, he plays, a little bit, count, never, spoon, the, love, vinegar, I bring, get angry, hear, of a, constantly, save, I opened, they read, how much, despite, nice to met you, captain, Helen, air hostess, child, see, cabinet, France, mango, a thousand

οικογένεια, απαντώ, λα, συσκευή, κίτρινη, δελφίνι, χαλί, μιλώντας, γράφω, φαντάζομαι, συνεχής, πιω, γεύματος, κήπος, δρόμος, χυμό, κουτί, μέρα, φέτα, συγκινούμαι, πυξίδα, ό, μπαμπάς, πεπόνι, οργή, δικό, κοριτσιού, εισιτήριο, άρθρα, βορράς, πλάτος, καλοριφέρ, δηλαδή, διαβάζω, δημοφιλέστατος, ζωή, θυμός, χελώνα, δεκαεννιά, τριάντα, παρέλαβα, δική, βορειοανατολικά, πλησιέστερος, μουσείο, ντίσκο, παρά, αι, ανώτερος, ανοιχτόχρωμος

family, reply, La, device, yellow, dolphin, carpet, speaking, I am writing, I imagine, continuous, to drink, lunch, garden, road, juice, box, day, slice, Im moved, compass, The, Daddy, melon, anger, own, girl, ticket, articles, north, width, radiator, ie, Im studying, popular, Zoe, anger, tortoise, nineteen, thirty, I received, trial, northeast, nearest, museum, disco, despite, A, higher, pale

ζεστός, εντελώς, στολή, συνέχεια, μενού, πολλάκις, χάνω, λεωφόρος, διαβάσω, οποία, εφημερίδες, είσαι, συνέδριο, παρασκευή, εσωτερικό, αφρικανικός, επίσημος, γάτα, έτσι, αλλά, πιστεύω, λυπάμαι, τίγρης, παράθυρο, ζω, δυνατός, οι, κουκουβάγια, ανατολικός, πάπρικα, βελτιώνω, ρόδα, δικός, ι, μαγείρεψα, καθαρός, προσφέρω, βάζω, νεαρός, ιανουάριος, βασικός, μητέρα, χέρι, διεύθυνση, φύλακας, λιγότερος, συμφωνώ, τέταρτος, άμεσα, κακός

hot, completely, uniform, Continuity, menu, oftentimes, I lose, avenue, read, who, newspapers, are you, congress, Friday, interior, African, formal, cat, so, but, believe, I am sorry, Tiger, window, live, possible, the, owl, Oriental, paprika, improve, wheel, δ, i, I cooked, net, I offer, I put, young, January, basic, mother, hand, address, guardian, less, agree, fourth, directly, bad

ακριβότατος, παλτό, δημοφιλής, λιακάδα, συντόμως, εργένης, περίοδος, δουλεύω, σκέφτομαι, αρέσω, βαθύτερος, κοιλάδα, γραφείο, σωστά, μήπως, λεμόνι, φεβρουάριος, πρωινό, πετσέτα, ποιμενικός, οπουδήποτε, σχεδιάζω, ούζο, γυναικών, ακόμα, κρασί, κούπα, πόδι, συναντώ, σείο, φθινόπωρο, στρατιωτικός, διατηρώ, βίντεο, άφησα, αυτού, οποίου, καλλιτέχνης, φως, χι, υποστηρίζω, σερβιτόρα, εστιατόριο, σοκολάτες, δοκίμασα, απάντηση, οδυσσέας, ήξερα, είσαστε, καλός

very expensive, coat, popular, sunshine, shortly, bachelor, period, I work, Im thinking, like, underlying, valley, office, correctly, maybe, lemon, February, breakfast, towel, pastoral, anywhere, I plan, Ouzo, womens, still, wine, cup, foot, come across, funeral, autumn, military, Keep, video, I left, his, which, artist, light, hi, I support, waitress, restaurant, chocolates, I tried, answer, Odysseus, I knew, you are, good

μεγαλύτερος, αρκούδα, βρίσκομαι, τύπισσα, κοινωνικός, προσέξω, ανά, νεότατος, αληθινός, μόνος, μάλλινος, δικοί, καμηλοπάρδαλη, ονομάζομαι, κουράζομαι, άλογο, αποσκευές, λευκός, ανεξάρτητος, δέχομαι, γλέντι, τρως, άντρας, επιπλέον, φίλος, σταμάτησα, ψάξω, έδειξα, οδηγίες, ηλικία, γέφυρα, αντιπαθητικός, ανασφαλής, γέννηση, γεμάτος, βορειοδυτικά, εμάς, γιος, οκτώβριος, πιάτο, μάιος, μπριζόλα, αστυνομικός, έχασα, αδέλφια, μέσα, έζησα, κίτρινο, ναι, θέλω

larger, bear, be, piss, social, take care, per, most young, true, single, woolen, people, giraffe, name, get tired, horse, luggage, white, independent, I accept, spree, you eat, man, Furthermore, friend, I stopped, search, showed, instructions, age, bridge, unprepossessing, insecure, birth, full, northwest, us, son, October, plate, May, steak, police officer, I lost, brothers, inside, lived, yellow, Yes, I want

χρησιμοποιήσω, ελιά, περιπέτεια, ελπίζω, μήλου, αγχώνομαι, πηγαίνω, φεύγοντας, βρήκα, αγχώνω, άντρες, Νανά, κλείνω, ταβέρνα, μείνω, νεροχύτης, κατάφερα, χτύπησα, εύκολα, διασημότερος, αρχαίος, μύτη, ικανός, φούρνος, σπάρτη, κάκιστος, θυμήθηκα, ντουζ, αηδιασμένος, δείπνο, κόκκινος, απλός, ψηλός, χρειάζομαι, παίξω, εργάτης, ακριβώς, ελπίζοντας, άγγιξα, προφανώς, βοηθώ, βελτίωσα, ζαλίζομαι, βάλω, ευχαρίστως, γερμανός, ράφι, στόμα, μπλούζα, οποίων

use, olive, adventure, hope, apple, I get anxious, I am going, leaving, I found, sting, men, Nana, close, tavern, stay, sink, managed, I hit, easily, most famous, ancient, nose, capable, oven, Sparta, furious, I remembered, shower, disgusted, dinner, red, simple, tall, need, play, worker, exactly, hoping, touched, obviously, help, I have improved, I am dizzy, put, gladly, German, shelf, mouth, blouse, of which

καμπάνα, στρατιώτης, σήκωσα, κόσμημα, γαλλικός, χιλιάδα, μόλις, πέμπτος, τοποθεσία, συμπεριλαμβάνω, οποίο, διαδρομή, βιβλία, κρήτη, έξυπνος, παντελόνι, τουρκία, μπαρ, κουλτούρα, μαλλί, ψεύτικος, αυτή, όμως, τετρακόσιοι, πολύ, γιατί, βλέπω, καβούρι, ιταλικός, φανάρι, αφήνω, κρύβομαι, σοκολάτα, άλλο, στιγμές, χρόνος, βαθύς, απογοητεύω, τηλεόραση, ζε, απορρίπτομαι, σαββατοκύριακο, πήγα, οδηγός, συχνός, κάποια, μπήκα, γυναίκας, σταματάω, ρώσος

